dt,搜索用户,搜索点击用户,搜索转化率
2026/1/1,8176,7102,86.86
2026/1/2,10543,9148,86.77
2026/1/3,12295,10685,86.91
2026/1/4,8288,7255,87.54
2026/1/5,9068,8010,88.33
2026/1/6,9748,8535,87.56
2026/1/7,10294,9015,87.58
2026/1/8,10147,8770,86.43
2026/1/9,9588,8304,86.61
2026/1/10,12734,11013,86.49
2026/1/11,15119,13286,87.88
2026/1/12,10480,9241,88.18
2026/1/13,11207,9850,87.89
2026/1/14,11574,10226,88.35
2026/1/15,11863,10497,88.49
2026/1/16,11606,10184,87.75
2026/1/17,15862,13853,87.33
2026/1/18,18570,16367,88.14
2026/1/19,12259,10763,87.8
2026/1/20,12831,11259,87.75
2026/1/21,12940,11460,88.56
2026/1/22,12704,11250,88.55
2026/1/23,11855,10383,87.58
2026/1/24,17005,15003,88.23
2026/1/25,19244,17019,88.44
2026/1/26,13212,11592,87.74
2026/1/27,13490,11917,88.34
2026/1/28,13330,11666,87.52
2026/1/29,12332,10676,86.57
2026/1/30,10985,9471,86.22
2026/1/31,13173,11523,87.47
2026/2/1,12512,11116,88.84
2026/2/2,9692,8499,87.69
2026/2/3,9146,7957,87
2026/2/4,8609,7453,86.57
2026/2/5,7884,6765,85.81
2026/2/6,7496,6313,84.22
2026/2/7,6885,5607,81.44
2026/2/8,5994,4833,80.63
2026/2/9,5563,4508,81.04
2026/2/10,5405,4445,82.24
2026/2/11,5080,4165,81.99
2026/2/12,4831,3998,82.76
2026/2/13,4429,3618,81.69
2026/2/14,3861,3213,83.22
2026/2/15,3121,2599,83.27
2026/2/16,1781,1463,82.14
2026/2/17,1828,1493,81.67
2026/2/18,2526,2050,81.16
2026/2/19,3074,2515,81.82
2026/2/20,3577,2930,81.91
2026/2/21,3907,3198,81.85
2026/2/22,4519,3646,80.68
2026/2/23,4935,4053,82.13
2026/2/24,5159,4221,81.82
2026/2/25,5378,4372,81.29
